tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
133,947,133,5060,10,201,147,72,10.201.147.72:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
134,950,133,5060,10,201,146,73,10.201.146.73:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
135,951,133,5060,10,201,147,73,10.201.147.73:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
136,952,133,5060,10,201,146,74,10.201.146.74:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
137,953,133,5060,10,201,147,74,10.201.147.74:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
138,954,133,5060,10,201,146,75,10.201.146.75:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
139,955,133,5060,10,201,147,75,10.201.147.75:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
140,956,133,5060,10,201,146,76,10.201.146.76:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
141,957,133,5060,10,201,147,76,10.201.147.76:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
142,958,133,5060,10,201,146,77,10.201.146.77:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
143,959,133,5060,10,201,147,77,10.201.147.77:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
144,960,133,5060,10,201,146,78,10.201.146.78:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
145,961,133,5060,10,201,147,78,10.201.147.78:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
146,1690,133,5060,10,201,148,153,10.201.148.153:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
147,1691,133,5060,10,201,149,123,10.201.149.123:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
148,964,133,5060,10,201,146,82,10.201.146.82:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
149,965,133,5060,10,201,147,82,10.201.147.82:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
150,760,133,5060,10,201,146,201,10.201.146.201:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
151,761,133,5060,10,201,147,201,10.201.147.201:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
152,976,133,5060,10,201,146,88,10.201.146.88:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
153,977,133,5060,10,201,147,88,10.201.147.88:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
154,972,133,5060,10,201,146,85,10.201.146.85:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
155,973,133,5060,10,201,147,85,10.201.147.85:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
156,966,133,5060,10,201,146,86,10.201.146.86:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
157,967,133,5060,10,201,147,86,10.201.147.86:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
158,968,133,5060,10,201,146,83,10.201.146.83:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
159,969,133,5060,10,201,147,83,10.201.147.83:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
160,10,133,5060,10,215,40,190,10.215.40.190:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
161,974,133,5060,10,201,146,87,10.201.146.87:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
162,975,133,5060,10,201,147,87,10.201.147.87:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
163,978,133,5060,10,201,146,89,10.201.146.89:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
164,979,133,5060,10,201,147,89,10.201.147.89:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
165,980,133,5060,10,201,146,90,10.201.146.90:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
166,981,133,5060,10,201,147,90,10.201.147.90:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
