tbl_SubTrkGrp(tbl_SubTrkGrp)

Export Time:2018/06/03 10:10:04

Trunk group number,Sub-route number,Priority level,Availability,Reserved,Status
952,952,'0,255,'0,1
953,953,'0,255,'0,1
954,954,'0,255,'0,1
955,955,'0,255,'0,1
956,956,'0,255,'0,1
957,957,'0,255,'0,1
958,958,'0,255,'0,1
959,959,'0,255,'0,1
960,960,'0,255,'0,1
961,961,'0,255,'0,1
964,964,'0,255,'0,1
965,965,'0,255,'0,1
966,966,'0,255,'0,1
967,967,'0,255,'0,1
968,968,'0,255,'0,1
969,969,'0,255,'0,1
970,970,'0,255,'0,1
971,971,'0,255,'0,1
972,972,'0,255,'0,1
973,973,'0,255,'0,1
974,974,'0,255,'0,1
975,975,'0,255,'0,1
976,976,'0,255,'0,1
977,977,'0,255,'0,1
978,978,'0,255,'0,1
979,979,'0,255,'0,1
980,980,'0,255,'0,1
981,981,'0,255,'0,1
982,982,'0,255,'0,1
983,983,'0,255,'0,1
984,984,'0,255,'0,1
985,985,'0,255,'0,1
986,986,'0,255,'0,1
987,987,'0,255,'0,1
988,988,'0,255,'0,1
989,989,'0,255,'0,1
990,990,'0,255,'0,1
991,991,'0,255,'0,1
992,992,'0,255,'0,1
993,993,'0,255,'0,1
994,994,'0,255,'0,1
995,995,'0,255,'0,1
996,996,'0,255,'0,1
997,997,'0,255,'0,1
998,998,'0,255,'0,1
999,999,'0,255,'0,1
1000,1000,'0,255,255,1
1001,1001,'0,255,255,1
1003,898,'0,255,255,1
1004,898,'0,255,255,1
1005,1005,'0,255,255,1
1006,1001,'0,255,255,1
1007,1001,'0,255,255,1
1008,1008,'0,255,255,1
1009,1009,'0,255,255,1
1011,1011,'0,255,255,1
1012,1012,'0,255,255,1
1013,1013,'0,255,255,1
1014,1014,'0,255,255,1
1015,1015,'0,255,255,1
1016,1016,'0,255,255,1
1017,1017,'0,255,255,1
1018,1018,'0,255,255,1
1019,1019,'0,255,255,1
1020,1020,'0,255,255,1
1021,1021,'0,255,255,1
1022,1022,'0,255,255,1
1023,1023,'0,255,255,1
1024,1024,'0,255,255,1
1025,1025,'0,255,255,1
1026,1026,'0,255,255,1
1027,1027,'0,255,255,1
1028,1028,'0,255,255,1
1029,1029,'0,255,255,1
1030,1030,'0,255,255,1
1031,1031,'0,255,255,1
1032,1032,'0,255,255,1
1033,1033,'0,255,255,1
1034,1034,'0,255,255,1
1035,1035,'0,255,255,1
1037,1037,'0,255,255,1
1038,1038,'0,255,255,1
1040,1040,'0,255,255,1
1041,1041,'0,255,255,1
1042,1042,'0,255,255,1
1043,1043,'0,255,255,1
1044,1044,'0,255,255,1
1045,1045,'0,255,255,1
1046,1046,'0,255,255,1
1047,1047,'0,255,255,1
1048,1048,'0,255,255,1
1049,1049,'0,255,255,1
1050,1506,'0,255,255,1
1051,1051,'0,255,255,1
1053,1053,'0,255,255,1
1054,1054,'0,255,255,1
1055,1055,'0,255,255,1
1056,1056,'0,255,255,1
1057,1057,'0,255,255,1
1058,1058,'0,255,255,1
1502,1502,'0,255,'0,1
1503,1503,'0,255,'0,1
1504,1504,'0,255,'0,1
1505,1505,'0,255,'0,1
1508,1508,'0,255,'0,1
1509,1509,'0,255,'0,1
1510,1510,'0,255,'0,1
1511,1511,'0,255,'0,1
1512,1512,'0,255,'0,1
1513,1513,'0,255,'0,1
1514,1514,'0,255,'0,1
1515,1515,'0,255,'0,1
1516,1516,'0,255,'0,1
1517,1517,'0,255,'0,1
1518,1518,'0,255,'0,1
1519,1519,'0,255,'0,1
1520,1520,'0,255,'0,1
1521,1521,'0,255,'0,1
1522,1522,'0,255,'0,1
1523,1523,'0,255,'0,1
1524,1524,'0,255,'0,1
1525,1525,'0,255,'0,1
1526,1526,'0,255,'0,1
1527,1527,'0,255,'0,1
1528,1528,'0,255,'0,1
1529,1529,'0,255,'0,1
1530,1530,'0,255,'0,1
1531,1531,'0,255,'0,1
1532,1532,'0,255,'0,1
1533,1533,'0,255,'0,1
1534,1534,'0,255,'0,1
1535,1535,'0,255,'0,1
1536,1536,'0,255,'0,1
1537,1537,'0,255,'0,1
1538,1538,'0,255,'0,1
1539,1539,'0,255,'0,1
1540,1540,'0,255,'0,1
1541,1541,'0,255,'0,1
1542,1542,'0,255,'0,1
1543,1543,'0,255,'0,1
1544,1544,'0,255,'0,1
1545,1545,'0,255,'0,1
1546,1546,'0,255,'0,1
1547,1547,'0,255,'0,1
1548,1548,'0,255,'0,1
1549,1549,'0,255,'0,1
1550,1550,'0,255,'0,1
1551,1551,'0,255,'0,1
1552,1552,'0,255,'0,1
1553,1553,'0,255,'0,1
1554,1554,'0,255,'0,1
1555,1555,'0,255,'0,1
1556,1556,'0,255,'0,1
1557,1557,'0,255,'0,1
1558,1558,'0,255,'0,1
1559,1559,'0,255,'0,1
1560,1560,'0,255,'0,1
1561,1561,'0,255,'0,1
1562,1562,'0,255,'0,1
1563,1563,'0,255,'0,1
1564,1564,'0,255,'0,1
1565,1565,'0,255,'0,1
1566,1566,'0,255,'0,1
1567,1567,'0,255,'0,1
1568,1568,'0,255,'0,1
1569,1569,'0,255,'0,1
1570,1570,'0,255,'0,1
1571,1571,'0,255,'0,1
1572,1572,'0,255,'0,1
1573,1573,'0,255,'0,1
1574,1574,'0,255,'0,1
1575,1575,'0,255,'0,1
1576,1576,'0,255,'0,1
1577,1577,'0,255,'0,1
1578,1578,'0,255,'0,1
1579,1579,'0,255,'0,1
1580,1580,'0,255,'0,1
1581,1581,'0,255,'0,1
1582,1582,'0,255,'0,1
1583,1583,'0,255,'0,1
1584,1584,'0,255,'0,1
1585,1585,'0,255,'0,1
1586,1586,'0,255,'0,1
1587,1587,'0,255,'0,1
1588,1588,'0,255,'0,1
1589,1589,'0,255,'0,1
1590,1582,'0,255,'0,1
1591,1583,'0,255,'0,1
1594,1594,'0,255,'0,1
1595,1595,'0,255,'0,1
1596,1596,'0,255,'0,1
1597,1597,'0,255,'0,1
1598,1598,'0,255,'0,1
1599,1599,'0,255,'0,1
