Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
746,ASCADE_JordanTelecom_NISC1,Select by percentage,100,0,0,0,260,None,None,None
747,ASCADE_JordanTelecom_NISC2,Select by percentage,100,0,0,0,261,None,None,None
748,ASCADE_JordanTelecom,Select by percentage,50,50,0,0,260,261,None,None
749,ASCADE_PTCL,Select by percentage,100,0,0,0,280,None,None,None
750,SIPTG_Toque Trde Cntrl Sys,Select by percentage,100,0,0,0,750,751,None,None
751,ASCADE_Nawras Mobile Bousher MGW,Select by percentage,0,100,0,0,1,2,None,None
752,ASCADE_Nawras Mobile Sohar MGW,Select by percentage,100,0,0,0,0,None,None,None
753,SIPTG_Al Batina International LLC,Select by percentage,100,0,0,0,742,743,None,None
754,ASCADE_Nawras Mobile,Select by percentage,0,50,50,0,1,2,0,None
755,SIPTG_Sharaf DG LLC,Select by percentage,100,0,0,0,744,745,None,None
757,SIP_Zubair Telecommunication,Select by percentage,100,0,0,0,748,749,None,None
758,SIPTG_SIP_Bahwan Eng Company,Select by percentage,100,0,0,0,758,759,None,None
759,SIPTG_Bahwan Eng cmpnyB,Select by percentage,100,0,0,0,1610,1611,None,None
760,SIPTG_OPAL/International Busi,Select by percentage,100,0,0,0,760,761,None,None
761,SIPTG_Oman Oil Mrkting,Select by percentage,100,0,0,0,1608,1609,None,None
762,SIPTG_Alsh_Inter,Select by percentage,100,0,0,0,702,703,None,None
763,SIPTG_Khalid & Sons LLC,Select by percentage,100,0,0,0,754,755,None,None
764,SIPTG_Dal_Petro,Select by percentage,100,0,0,0,704,705,None,None
765,SIPTG_Khalid & Sons LLC-2,Select by percentage,100,0,0,0,756,757,None,None
766,SIPTG_Desa_Res_Center,Select by percentage,100,0,0,0,706,707,None,None
767,SIPTG_Ajay Enterprises LLC,Select by percentage,100,0,0,0,762,763,None,None
768,SIPTG_Omani Cntr fr Invstmnt,Select by percentage,100,0,0,0,766,767,None,None
769,SIPTG_Omani Cntr fr Invt2-FNP,Select by percentage,100,0,0,0,768,769,None,None
770,SIPTG_Ara_Ind_Hyma,Select by percentage,100,0,0,0,710,711,None,None
771,SIPTG_Ghantoot Transport,Select by percentage,100,0,0,0,770,771,None,None
772,SIPTG_Ara_Ind_Marmul,Select by percentage,100,0,0,0,712,713,None,None
773,SIPTG_Mace Macro Intl LLC,Select by percentage,100,0,0,0,772,773,None,None
774,SIPTG_Arab_Ind_Bhaja,Select by percentage,100,0,0,0,714,715,None,None
775,SIPTG_Suhil Bahwn Atomble,Select by percentage,100,0,0,0,774,775,None,None
